"region","mission_name","station","event_id","sample_id","year","month","day","date","season","time","longitude","latitude","depth","parameter_name","method","data_value"
"CLS","95016, JGOFS_1995","13","95016079","160432",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,2,"Chlorophyll A","Chl_a",3.6
"CLS","95016, JGOFS_1995","13","95016079","160433",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,20,"Chlorophyll A","Chl_a",3.58
"CLS","95016, JGOFS_1995","13","95016079","162335",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,2920,"Chlorophyll A","Chl_a",0.04
"CLS","95016, JGOFS_1995","13","95016079","162336",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,2452,"Chlorophyll A","Chl_a",0.03
"CLS","95016, JGOFS_1995","13","95016079","162337",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,1974,"Chlorophyll A","Chl_a",0.04
"CLS","95016, JGOFS_1995","13","95016079","162338",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,1463,"Chlorophyll A","Chl_a",0.03
"CLS","95016, JGOFS_1995","13","95016079","162339",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,963,"Chlorophyll A","Chl_a",0.03
"CLS","95016, JGOFS_1995","13","95016079","162340",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,483,"Chlorophyll A","Chl_a",0.03
"CLS","95016, JGOFS_1995","13","95016079","162341",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,243,"Chlorophyll A","Chl_a",0.03
"CLS","95016, JGOFS_1995","13","95016079","162342",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,197,"Chlorophyll A","Chl_a",0.03
"CLS","95016, JGOFS_1995","13","95016079","162343",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,149,"Chlorophyll A","Chl_a",0.04
"CLS","95016, JGOFS_1995","13","95016079","162344",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,101,"Chlorophyll A","Chl_a",0.13
"CLS","95016, JGOFS_1995","13","95016079","162345",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,77,"Chlorophyll A","Chl_a",0.5
"CLS","95016, JGOFS_1995","13","95016079","162346",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,63,"Chlorophyll A","Chl_a",0.61
"CLS","95016, JGOFS_1995","13","95016079","162347",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,53,"Chlorophyll A","Chl_a",0.77
"CLS","95016, JGOFS_1995","13","95016079","162348",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,43,"Chlorophyll A","Chl_a",1
"CLS","95016, JGOFS_1995","13","95016079","162349",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,33,"Chlorophyll A","Chl_a",2.54
"CLS","95016, JGOFS_1995","13","95016079","162350",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,28,"Chlorophyll A","Chl_a",2.33
"CLS","95016, JGOFS_1995","13","95016079","162351",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,23,"Chlorophyll A","Chl_a",2.78
"CLS","95016, JGOFS_1995","13","95016079","162352",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,18,"Chlorophyll A","Chl_a",2.87
"CLS","95016, JGOFS_1995","13","95016079","162353",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,9,"Chlorophyll A","Chl_a",2.77
"CLS","95016, JGOFS_1995","13","95016079","162354",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,8,"Chlorophyll A","Chl_a",2.62
"CLS","95016, JGOFS_1995","13","95016079","162355",1995,7,11,1995-07-11,"Summer","1337",-53.6,55.64,4,"Chlorophyll A","Chl_a",3.04
"CLS","95016, JGOFS_1995","14","95016085","162356",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,203,"Chlorophyll A","Chl_a",0.06
"CLS","95016, JGOFS_1995","14","95016085","162357",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,146,"Chlorophyll A","Chl_a",0.1
"CLS","95016, JGOFS_1995","14","95016085","162358",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,122,"Chlorophyll A","Chl_a",0.12
"CLS","95016, JGOFS_1995","14","95016085","162359",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,103,"Chlorophyll A","Chl_a",0.22
"CLS","95016, JGOFS_1995","14","95016085","162360",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,92,"Chlorophyll A","Chl_a",0.25
"CLS","95016, JGOFS_1995","14","95016085","162361",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,82,"Chlorophyll A","Chl_a",0.68
"CLS","95016, JGOFS_1995","14","95016085","162362",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,73,"Chlorophyll A","Chl_a",1.81
"CLS","95016, JGOFS_1995","14","95016085","162363",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,63,"Chlorophyll A","Chl_a",2.06
"CLS","95016, JGOFS_1995","14","95016085","162364",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,52,"Chlorophyll A","Chl_a",3.75
"CLS","95016, JGOFS_1995","14","95016085","162365",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,42,"Chlorophyll A","Chl_a",4.71
"CLS","95016, JGOFS_1995","14","95016085","162366",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,37,"Chlorophyll A","Chl_a",5.09
"CLS","95016, JGOFS_1995","14","95016085","162367",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,32,"Chlorophyll A","Chl_a",5.65
"CLS","95016, JGOFS_1995","14","95016085","162368",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,26,"Chlorophyll A","Chl_a",5.77
"CLS","95016, JGOFS_1995","14","95016085","162369",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,21,"Chlorophyll A","Chl_a",0
"CLS","95016, JGOFS_1995","14","95016085","162370",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,17,"Chlorophyll A","Chl_a",4.73
"CLS","95016, JGOFS_1995","14","95016085","162371",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,11,"Chlorophyll A","Chl_a",3.9
"CLS","95016, JGOFS_1995","14","95016085","162372",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,7,"Chlorophyll A","Chl_a",3.92
"CLS","95016, JGOFS_1995","14","95016085","162373",1995,7,11,1995-07-11,"Summer","2303",-52.68,56.54,2,"Chlorophyll A","Chl_a",3.86
"CLS","95016, JGOFS_1995","16","95016098","160438",1995,7,12,1995-07-12,"Summer","1749",-50.88,58.22,1,"Chlorophyll A","Chl_a",3.38
"CLS","95016, JGOFS_1995","16","95016098","160439",1995,7,12,1995-07-12,"Summer","1749",-50.88,58.22,20,"Chlorophyll A","Chl_a",3.26
"CLS","95016, JGOFS_1995","15","95016087","162374",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,201,"Chlorophyll A","Chl_a",0.08
"CLS","95016, JGOFS_1995","15","95016087","162375",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,155,"Chlorophyll A","Chl_a",0.07
"CLS","95016, JGOFS_1995","15","95016087","162376",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,125,"Chlorophyll A","Chl_a",0.09
"CLS","95016, JGOFS_1995","15","95016087","162377",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,104,"Chlorophyll A","Chl_a",0.16
"CLS","95016, JGOFS_1995","15","95016087","162378",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,94,"Chlorophyll A","Chl_a",0.19
"CLS","95016, JGOFS_1995","15","95016087","162379",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,84,"Chlorophyll A","Chl_a",0.24
"CLS","95016, JGOFS_1995","15","95016087","162380",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,75,"Chlorophyll A","Chl_a",0.22
"CLS","95016, JGOFS_1995","15","95016087","162381",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,64,"Chlorophyll A","Chl_a",0.4
"CLS","95016, JGOFS_1995","15","95016087","162382",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,53,"Chlorophyll A","Chl_a",1.06
"CLS","95016, JGOFS_1995","15","95016087","162383",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,44,"Chlorophyll A","Chl_a",1.41
"CLS","95016, JGOFS_1995","15","95016087","162384",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,39,"Chlorophyll A","Chl_a",2.14
"CLS","95016, JGOFS_1995","15","95016087","162385",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,34,"Chlorophyll A","Chl_a",2.82
"CLS","95016, JGOFS_1995","15","95016087","162386",1995,7,12,1995-07-12,"Summer","643",-51.79,57.38,30,"Chlorophyll A","Chl_a",3.97
