"POLYGON","DATE","MISSION","EVENT_ID","LATITUDE","LONGITUDE","DEPTH","PAAW"
"HB","1998-06-27","HUD1998023","42",55.111,-54.138833,30.352,479.931996402637
"HB","1998-06-27","HUD1998023","42",55.111,-54.138833,10.306,477.258354634215
"CLS","1998-06-28","HUD1998023","55",55.612167,-53.629167,20.551,477.288318732589
"CLS","1998-06-28","HUD1998023","55",55.612167,-53.629167,10.598,475.040792815266
"CLS","1998-07-02","HUD1998023","87",58.640667,-50.415833,30.062,469.584545757068
"CLS","1998-07-06","HUD1998023","-999",56.17,-52.98,3,471.473456243266
"HB","1999-07-01","HUD1999022","-999",53.99,-55.25,1,475.667116861341
"HB","1999-07-01","HUD1999022","38",53.68,-55.5495,40.19,481.984363775591
"HB","1999-07-01","HUD1999022","38",53.68,-55.5495,19.993,474.147576180681
"HB","1999-07-01","HUD1999022","38",53.68,-55.5495,9.619,476.502915333175
"HB","1999-07-02","HUD1999022","-999",55.12,-54.09,1,473.180238622002
"HB","1999-07-02","HUD1999022","-999",55.12,-54.1,1,474.888849094803
"HB","1999-07-02","HUD1999022","56",55.264833,-53.979667,29.574,476.134196818534
"HB","1999-07-02","HUD1999022","56",55.264833,-53.979667,19.413,473.902285394518
"HB","1999-07-02","HUD1999022","56",55.264833,-53.979667,11.295,472.828960982076
"HB","1999-07-03","HUD1999022","70",55.420833,-53.829833,29.991,475.431109231365
"HB","1999-07-03","HUD1999022","70",55.420833,-53.829833,19.589,476.93311243507
"HB","1999-07-03","HUD1999022","70",55.420833,-53.829833,9.748,472.749629906291
"CLS","1999-07-04","HUD1999022","84",56.1215,-53.056,28.717,478.891228861649
"CLS","1999-07-04","HUD1999022","84",56.1215,-53.056,19.985,473.472017881266
"CLS","1999-07-04","HUD1999022","84",56.1215,-53.056,9.68,472.851999947471
"CLS","1999-07-05","HUD1999022","-999",57.9,-51.22,1,476.053369466879
"CLS","1999-07-05","HUD1999022","90",58.216,-50.8875,38.819,473.063545102574
"CLS","1999-07-05","HUD1999022","90",58.216,-50.8875,20.786,473.71983176003
"CLS","1999-07-05","HUD1999022","90",58.216,-50.8875,7.798,473.185275781036
"CLS","1999-07-06","HUD1999022","99",58.636833,-50.423667,39.414,472.926665367737
"CLS","1999-07-06","HUD1999022","99",58.636833,-50.423667,19.273,472.451173189591
"CLS","1999-07-06","HUD1999022","99",58.636833,-50.423667,9.434,473.416347235778
"GS","1999-07-07","HUD1999022","111",60.298833,-48.56,20.683,465.787773112081
"GS","1999-07-07","HUD1999022","111",60.298833,-48.56,10.493,465.641258155142
"CLS","1999-07-08","HUD1999022","-999",59.75,-49.17,1,468.365945817605
"GS","1999-07-08","HUD1999022","126",60.176667,-48.687167,19.4,471.55029528561
"GS","1999-07-08","HUD1999022","126",60.176667,-48.687167,9.211,468.721399405213
"GS","1999-07-08","HUD1999022","126",60.176667,-48.687167,4.401,471.325718294182
"CLS","1999-07-09","HUD1999022","137",57.820667,-51.346833,40.035,475.504974704005
"CLS","1999-07-09","HUD1999022","137",57.820667,-51.346833,29.808,473.009357260788
"CLS","1999-07-09","HUD1999022","137",57.820667,-51.346833,9.784,468.152673559952
"CLS","1999-07-10","HUD1999022","145",56.727333,-52.479667,20.051,472.780280066192
"CLS","1999-07-10","HUD1999022","145",56.727333,-52.479667,10.218,469.454265813956
"HB","2001-06-04","HUD2001022","-999",54.3,-54.95,4,467.685407888553
"HB","2001-06-04","HUD2001022","52",53.793333,-55.440167,39.091,471.573885214669
"HB","2001-06-04","HUD2001022","52",53.793333,-55.440167,20.114,471.848602454671
"HB","2001-06-04","HUD2001022","52",53.793333,-55.440167,9.691,470.944139470717
"HB","2001-06-05","HUD2001022","-999",55.42,-53.82,4,476.395222213715
"CLS","2001-06-05","HUD2001022","-999",55.63,-53.65,4,476.292894026536
"CLS","2001-06-05","HUD2001022","72",55.614667,-53.634,40.23,475.782856436899
"CLS","2001-06-05","HUD2001022","72",55.614667,-53.634,20.207,477.974607350482
"CLS","2001-06-05","HUD2001022","72",55.614667,-53.634,10.178,476.527013296894
"CLS","2001-06-06","HUD2001022","86",56.696167,-52.490333,19.22,470.971709930538
"CLS","2001-06-06","HUD2001022","86",56.696167,-52.490333,9.561,470.154446590955
"CLS","2001-06-07","HUD2001022","96",58.64,-50.416333,39.07,473.04675532521
"CLS","2001-06-07","HUD2001022","96",58.64,-50.416333,19.345,469.256495032947
"CLS","2001-06-07","HUD2001022","96",58.64,-50.416333,9.116,470.036103788047
"GS","2001-06-08","HUD2001022","108",60.567167,-48.2625,39.477,481.292685918725
"GS","2001-06-08","HUD2001022","108",60.567167,-48.2625,19.963,484.325794428092
"GS","2001-06-08","HUD2001022","108",60.567167,-48.2625,9.377,477.313007721381
"CLS","2001-06-09","HUD2001022","161",59.065,-49.955667,40.056,472.209867366148
"CLS","2001-06-09","HUD2001022","161",59.065,-49.955667,19.86,472.36695314768
"CLS","2001-06-09","HUD2001022","161",59.065,-49.955667,10.043,470.241618420371
"CLS","2001-06-10","HUD2001022","209",56.113833,-53.116,19.349,473.157965175399
"CLS","2001-06-10","HUD2001022","209",56.113833,-53.116,9.551,472.181473515463
"HB","2002-12-01","HUD2002075","1",53.676167,-55.551,19.583,473.643973888925
"HB","2002-12-02","HUD2002075","13",53.992667,-55.253333,30.862,470.834781509404
"HB","2002-12-02","HUD2002075","13",53.992667,-55.253333,3.449,468.406440859062
"HB","2002-12-02","HUD2002075","14",54.4915,-54.755,3.133,464.023705526214
"HB","2002-12-03","HUD2002075","23",54.956667,-54.280167,3.075,472.097868741812
"HB","2002-12-03","HUD2002075","27",55.111667,-54.1375,4.167,472.147467233162
"CLS","2002-12-04","HUD2002075","50",55.859833,-53.39,10.014,475.283180133672
"CLS","2002-12-04","HUD2002075","66",56.548667,-52.661833,3.911,475.474790287582
"CLS","2002-12-04","HUD2002075","77",57.376,-51.797167,30.288,475.470796565333
"CLS","2002-12-04","HUD2002075","77",57.376,-51.797167,4.816,473.303293827877
"CLS","2002-12-05","HUD2002075","108",58.203167,-50.840833,3.591,472.02187522807
"CLS","2002-12-05","HUD2002075","120",59.066167,-49.949667,20.367,471.807698799049
"CLS","2002-12-05","HUD2002075","120",59.066167,-49.949667,4.465,471.709503623287
"CLS","2002-12-06","HUD2002075","135",59.744167,-49.1685,4.778,472.729398729797
"GS","2002-12-06","HUD2002075","159",60.345667,-48.519833,4.708,472.882670091689
"HB","2003-07-23","HUD2003038","86",53.676,-55.5455,20.241,472.464612078581
"HB","2003-07-23","HUD2003038","86",53.676,-55.5455,2.206,468.414733357002
"HB","2003-07-24","HUD2003038","119",55.187167,-54.059,20.683,476.056926355313
"HB","2003-07-24","HUD2003038","119",55.187167,-54.059,4.49,472.270330465692
"CLS","2003-07-25","HUD2003038","152",56.115,-53.116167,9.801,472.342670086108
"CLS","2003-07-25","HUD2003038","152",56.115,-53.116167,3.829,471.165898857984
"CLS","2003-07-26","HUD2003038","186",57.377167,-51.791833,29.962,472.886250201473
"CLS","2003-07-26","HUD2003038","186",57.377167,-51.791833,2.918,467.411096736215
"CLS","2003-07-27","HUD2003038","219",58.640333,-50.416167,28.547,473.845191087282
